Plate,Timestamp,Status
NBC1234,2026-04-05 11:33:02,AUTHORIZED
NBC,2026-04-05 11:33:03,UNAUTHORIZED
NBC1234,2026-04-05 11:33:03,AUTHORIZED
NBC,2026-04-05 11:33:04,UNAUTHORIZED
NBC1234,2026-04-05 11:33:05,AUTHORIZED
NBC,2026-04-05 11:33:05,UNAUTHORIZED
NBC1234,2026-04-05 11:33:05,AUTHORIZED
NBC1254,2026-04-05 11:33:05,UNAUTHORIZED
NBC1234,2026-04-05 11:33:14,AUTHORIZED
4058,2026-04-05 11:34:07,UNAUTHORIZED
4050,2026-04-05 11:34:08,UNAUTHORIZED
4058,2026-04-05 11:34:14,UNAUTHORIZED
4650,2026-04-05 11:34:15,UNAUTHORIZED
4658,2026-04-05 11:34:15,UNAUTHORIZED
A,2026-04-05 11:34:18,UNAUTHORIZED
4,2026-04-05 11:34:21,UNAUTHORIZED
CAX3200,2026-04-05 11:38:53,UNAUTHORIZED
CAX32G0,2026-04-05 11:38:55,UNAUTHORIZED
3200,2026-04-05 11:38:55,UNAUTHORIZED
CAX32G0,2026-04-05 11:38:56,UNAUTHORIZED
32M6,2026-04-05 11:38:57,UNAUTHORIZED
CAX3200,2026-04-05 11:38:57,UNAUTHORIZED
CAX32G0,2026-04-05 11:39:23,UNAUTHORIZED
CAX3200,2026-04-05 11:39:23,UNAUTHORIZED
CAX,2026-04-05 11:39:24,UNAUTHORIZED
CAX3200,2026-04-05 11:39:25,UNAUTHORIZED
CAX,2026-04-05 11:39:25,UNAUTHORIZED
CAX3200,2026-04-05 11:39:27,UNAUTHORIZED
NBC1234,2026-04-05 11:43:11,AUTHORIZED
NBC,2026-04-05 11:43:12,UNAUTHORIZED
NBC1234,2026-04-05 11:43:13,AUTHORIZED
NBC,2026-04-05 11:43:13,UNAUTHORIZED
NBC1234,2026-04-05 11:43:13,AUTHORIZED
NBC,2026-04-05 11:43:13,UNAUTHORIZED
NBC1234,2026-04-05 11:43:16,AUTHORIZED
NBC,2026-04-05 11:43:29,UNAUTHORIZED
NBC1234,2026-04-05 11:43:29,AUTHORIZED
NBC,2026-04-05 11:43:35,UNAUTHORIZED
NBC1234,2026-04-05 11:43:35,AUTHORIZED
NBC,2026-04-05 11:43:39,UNAUTHORIZED
NBC1234,2026-04-05 11:43:39,AUTHORIZED
NBC,2026-04-05 11:43:40,UNAUTHORIZED
NBC1234,2026-04-05 11:43:40,AUTHORIZED
NBC,2026-04-05 11:43:42,UNAUTHORIZED
NBC1234,2026-04-05 11:43:42,AUTHORIZED
NBC123L,2026-04-05 11:43:42,UNAUTHORIZED
NBC,2026-04-05 11:43:43,UNAUTHORIZED
NBC1234,2026-04-05 11:43:43,AUTHORIZED
KL1234,2026-04-06 20:58:19,UNAUTHORIZED
NBC1234,2026-04-06 20:58:19,AUTHORIZED
NBC,2026-04-06 20:58:19,UNAUTHORIZED
NBC1234,2026-04-06 20:58:20,AUTHORIZED
NBC,2026-04-06 20:58:24,UNAUTHORIZED
NBC1234,2026-04-06 20:58:24,AUTHORIZED
NBC,2026-04-06 20:58:25,UNAUTHORIZED
NBC1234,2026-04-06 20:58:26,AUTHORIZED
NBC,2026-04-06 20:58:27,UNAUTHORIZED
NBC1234,2026-04-06 20:58:29,AUTHORIZED
NBC,2026-04-06 20:58:30,UNAUTHORIZED
NBC1234,2026-04-06 20:58:30,AUTHORIZED
NBC,2026-04-06 20:58:30,UNAUTHORIZED
"MII""",2026-04-06 20:58:31,UNAUTHORIZED
NBC1234,2026-04-06 20:58:31,AUTHORIZED
NBC,2026-04-06 20:58:35,UNAUTHORIZED
NBC1234,2026-04-06 20:58:35,AUTHORIZED
NBC,2026-04-06 20:58:37,UNAUTHORIZED
NBC1234,2026-04-06 20:58:38,AUTHORIZED
NBC,2026-04-06 20:58:39,UNAUTHORIZED
NBC1234,2026-04-06 20:58:39,AUTHORIZED
NBC,2026-04-06 20:58:44,UNAUTHORIZED
NBC1234,2026-04-06 20:58:44,AUTHORIZED
I,2026-04-06 20:58:44,UNAUTHORIZED
